S. No.,Br. No. ,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
"1,304",5258,30-Sep-15,75060,Emd and SD,EMD and SD,Chatni S A,ºÀÄ.«.ªÁ.£ÀA-53gÀ zÁfÃ¨Á£À ¥ÉÃl ªÀÄÄRågÀ¸ÉÛ §¢AiÀÄ ZÀgÀAr ªÉÄÃ¯É PÀÄ¹zÀÄ ºÉÆÃzÀ ¸Áèöå§ PÀªÀgÀUÀ¼À£ÀÄß ºÉÆ¸ÀzÁV Dgï.¹.¹ ¸Áèöå§  PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ,Refund of EMD bill,07-Oct-15,350,15-Oct-15,350
"1,305",5251,30-Sep-15,75056,Emd and SD,EMD and SD,Chatni S A,ºÀÄ « ªÁqÀğ £ÀA 54 gÀ  PÀªÀÄqÉÆÃ½î NtÂAiÀÄ°è M¼ÀZÀgÀAr  PÉÆÃ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ ºÁUÀÆ ZÉÃA§gÀUÀ¼À£ÀÄß PÀlÄÖªÀÅzÀÄ,Refund of SD bill,07-Oct-15,2516,15-Oct-15,2516
"1,306",5250,30-Sep-15,75055,Emd and SD,EMD and SD,Chatni S A,ºÀÄ « ªÁqÀğ £ÀA 54 gÀ  PÀªÀÄqÉÆÃ½î NtÂAiÀÄ°è M¼ÀZÀgÀAr  PÉÆÃ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ ºÁUÀÆ ZÉÃA§gÀUÀ¼À£ÀÄß PÀlÄÖªÀÅzÀÄ,Refund of EMD bill,07-Oct-15,1300,15-Oct-15,1300
"1,307",5252,30-Sep-15,75090,Emd and SD,EMD and SD,Chatni S A,"ºÀÄ.«.ªÁqÀğ £ÀA 44 gÀ°è §gÀÄªÀ CgÀ«AzÀ £ÀUgÀ ºÁUÀÆ ¦.© gÀ¸ÉÛ gÉÆÃqÀ£À°è ºÀÆ¸ÀzÁV ZÉÃA§gï PÀlÄÖªÀÅzÀÄ ºÁUÀÆ ««zsÀ ¨ÁUÀUÀ¼À°è PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ
",Refund of SD bill,07-Oct-15,1497,15-Oct-15,1497
"1,308",5253,30-Sep-15,75053,Emd and SD,EMD and SD,Chatni S A,"ºÀÄ.«.ªÁqÀğ £ÀA 44 gÀ°è §gÀÄªÀ CgÀ«AzÀ £ÀUgÀ ºÁUÀÆ ¦.© gÀ¸ÉÛ gÉÆÃqÀ£À°è ºÀÆ¸ÀzÁV ZÉÃA§gï PÀlÄÖªÀÅzÀÄ ºÁUÀÆ ««zsÀ ¨ÁUÀUÀ¼À°è PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ
",Refund of EMD bill,07-Oct-15,750,15-Oct-15,750
"1,309",5255,30-Sep-15,75089,Emd and SD,EMD and SD,Chatni S A,"ºÀÄ « ªÁ. £ÀA.44gÀ ¦.© gÀ¸ÉÛAiÀÄ°ègÀÄªÀ «ÃgÀ¨sÀzÉæÃ±ÀégÀ ºÁqÀğªÉÃgÀ JzÀÄjUÉAiÀÄÄfr ¯ÉÊ£À ºÁPÀÄªÀÅzÀÄ,CgÀ«AzÀ£ÀUÀgÀ d£ÀvÁ PÁ®¤AiÀÄ°è ºÉÆ¸À ZÉÃA§gÀ PÀlÄÖªÀÅzÀÄ",Refund of SD bill,07-Oct-15,579,15-Oct-15,579
"1,310",5254,30-Sep-15,75087,Emd and SD,EMD and SD,Chatni S A,"ºÀÄ « ªÁ. £ÀA.44gÀ ¦.© gÀ¸ÉÛAiÀÄ°ègÀÄªÀ «ÃgÀ¨sÀzÉæÃ±ÀégÀ ºÁqÀğªÉÃgÀ JzÀÄjUÉ AiÀÄÄfr ¯ÉÊ£À ºÁPÀÄªÀÅzÀÄ,CgÀ«AzÀ£ÀUÀgÀ d£ÀvÁ PÁ®¤AiÀÄ°è ºÉÆ¸À ZÉÃA§gÀ PÀlÄÖªÀÅzÀÄ",Refund of EMD bill,07-Oct-15,290,15-Oct-15,290
"1,311",5218,30-Sep-15,75058,Emd and SD,EMD and SD,Chatni S A,"ºÀÄ « ªÁqÀğ £ÀA 44 gÀ CgÀ«AzÀ £ÀUÀgÀ PÉ,JZï © PÁ®¤ ªÁ¸ÀÄ ¥ÀoÀ×t ªÀÄ£É ºÀwÛgÀ M¼ÀZÀgÀAr PÉÆÃ¼ÀªÉ zÀÄgÀ¹Ü UÉÆÃ½¸ÀÄªÀÅzÀÄ ºÁUÀÆ 44 gÀ ZÉÃA§gÀ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ",Refund of SD bill,07-Oct-15,726,15-Oct-15,726
"1,312",5219,30-Sep-15,75057,Emd and SD,EMD and SD,Chatni S A,"ºÀÄ « ªÁqÀğ £ÀA 44 gÀ CgÀ«AzÀ £ÀUÀgÀ PÉ,JZï © PÁ®¤ ªÁ¸ÀÄ ¥ÀoÀ×t ªÀÄ£É ºÀwÛgÀ M¼ÀZÀgÀAr PÉÆÃ¼ÀªÉ zÀÄgÀ¹Ü UÉÆÃ½¸ÀÄªÀÅzÀÄ ºÁUÀÆ 44 gÀ ZÉÃA§gÀ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ",Refund of EMD bill,07-Oct-15,380,15-Oct-15,380
"1,313",5248,30-Sep-15,75064,Emd and SD,EMD and SD,Chatni S A,ºÀÄ.«.ªÁ.£ÀA.53gÀ UË½UÀ°è ZÉA§gÀPÀªÀgÀ ºÁPÀÄªÀÅzÀÄ ºÀUÀÆ PÀªÀÄj¥ÉÃmÉUÉ ºÀwÛPÉÆArgÀÄªÀ gÀ¸ÉÛAiÀÄ°è PÀÄ¹zÀZÉÃA§gÀ ºÉÆ¸ÀzÁV PÀlÄÖªÀÅzÀÄ,Refund of SD bill,07-Oct-15,1070,15-Oct-15,1070
"1,314",5249,30-Sep-15,75066,Emd and SD,EMD and SD,Chatni S A,ºÀÄ.«.ªÁ.£ÀA.53gÀ UË½UÀ°è ZÉA§gÀPÀªÀgÀ ºÁPÀÄªÀÅzÀÄ ºÀUÀÆ PÀªÀÄj¥ÉÃmÉUÉ ºÀwÛPÉÆArgÀÄªÀ gÀ¸ÉÛAiÀÄ°è PÀÄ¹zÀ ZÉÃA§gÀ ºÉÆ¸ÀzÁV PÀlÄÖªÀÅzÀÄ,Refund of EMD bill,07-Oct-15,550,15-Oct-15,550
"1,315",5188,30-Sep-15,74761,Emd and SD,EMD and SD,Irfan M U,"zsÁ.«.ªÁqÀğ £ÀA 4,5,12,15 gÀ°èAiÀÄ DgÀhiÁzÀ £ÀUÀgÀ, zÀÄUÁğzÉÃ« UÀÄr gÀ¸ÉÛ, ªÀÄgÁoÁ PÁ®¤ ªÀÄvÀÄÛ ²ªÁ®AiÀÄ gÀ¸ÉÛAiÀÄ°è£À M¼ÀZÀgÀAr ZÉÃA§gÀ zÀÄgÀ¹Ü ªÀiÁr PÀªÀígÀ C¼ÀªÀr¸ÀÄªÀÅzÀÄ","Repair to B B masonry Chamber anf Laying of Manhole Cover at Azad nagar road Durgadevi road Maratha Colony road Near Hivalaya in ward No : 4,5,12,15 (SD Amount-1047/-)",07-Oct-15,1047,15-Oct-15,1047
"1,316",5189,30-Sep-15,74762,Emd and SD,EMD and SD,Irfan M U,"zsÁ.«.ªÁqÀğ £ÀA 4,5,12,15 gÀ°èAiÀÄ DgÀhiÁzÀ £ÀUÀgÀ, zÀÄUÁğzÉÃ« UÀÄr gÀ¸ÉÛ, ªÀÄgÁoÁ PÁ®¤ ªÀÄvÀÄÛ ²ªÁ®AiÀÄ gÀ¸ÉÛAiÀÄ°è£À M¼ÀZÀgÀAr ZÉÃA§gÀ zÀÄgÀ¹Ü ªÀiÁr PÀªÀígÀ C¼ÀªÀr¸ÀÄªÀÅzÀÄ","Repair to B B masonry Chamber anf Laying of Manhole Cover at Azad nagar road Durgadevi road Maratha Colony road Near Hivalaya in ward No : 4,5,12,15",07-Oct-15,546,15-Oct-15,546
"1,317",5369,05-Oct-15,75192,Emd and SD,EMD and SD,Shekhbade Shakeel Ahmed,ºÀÄ.« .ªÁqÀğ £ÀA 47 gÀ ¥Á°PÉAiÀÄ DªÀgÀtzÀ°ègÀÄªÀ ¯ÉPÀÌzÀ ±ÁSÉ ºÁUÀÆ DgÉÆÃUÀå ±ÁSÉ £ÀqÀÄªÉ D®Æå«Ä¤AiÀÄA ¥Ánğ±À£ï ªÀiÁqÀÄªÀzÀÄ.,Refund of SD Rs 3208.00 Regarding Muncipal Office Maintenance work in ward no 47 HDMC,07-Oct-15,3208,15-Oct-15,3208
"1,318",5367,05-Oct-15,75195,Emd and SD,EMD and SD,Shekhbade Shakeel Ahmed,ºÀÄ.«.ªÁqÀğ £ÀA 47 gÀ ¥Á°PÉAiÀÄ DªÀgÀtzÀ°ègÀÄªÀ ¯ÉPÀÌzÀ ±ÁSÉ ºÁUÀÆ DgÉÆÃUÀå ±ÁSÉ £ÀqÀÄªÉ D®Æå«Ä¤AiÀÄA ¥Ánğ±À£ï ªÀiÁqÀÄªÀzÀÄ.,Refund of EMD Of Rs 1620.00 of Regarding Muncipal Office Maintenance work in ward no 47 HDMC,07-Oct-15,1620,15-Oct-15,1620
"1,319",5370,05-Oct-15,75188,Emd and SD,EMD and SD,Shekhbade Shakeel Ahmed,"ºÀÄ.«.ªÁ £ÀA 47 gÀ°è ¯Á D¦ü¸ï PÀZÉÃjAiÀÄ°è ¸ÀÄtÚ §tÚ ªÀÄvÀÄÛ D®Æ""Ä¤AiÀÄA QlQ ªÀiÁqÀÄªÀzÀÄ.",Refund of SD Rs 3342.00 of Regarding  Building Painting At HDMC Special Office & Law Office. in ward no 47,07-Oct-15,3342,15-Oct-15,3342
"1,320",5371,05-Oct-15,75189,Emd and SD,EMD and SD,Shekhbade Shakeel Ahmed,"ºÀÄ.« .ªÁ £ÀA 47 gÀ°è ¯Á D¦ü¸ï PÀZÉÃjAiÀÄ°è ¸ÀÄtÚ §tÚ ªÀÄvÀÄÛ D®Æ""Ä¤AiÀÄA QlQ ªÀiÁqÀÄªÀzÀÄ.",Refund of EMD Rs 1760.00 Regarding  Building Painting At HDMC Special Office & Law Office. in ward no 47,07-Oct-15,1760,15-Oct-15,1760
"1,321",5359,03-Oct-15,75283,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ « ªÁqÀğ £ÀA  54 gÀ  ¢ªÀmÉ NtÂ gÁdÄ ZÀªÁít EªÀgÀ ªÀÄ£É JzÀÄjUÉ ºÉÆ¸À  ZÉÃA§gï PÀlÄÖªÀÅzÀÄ,Refund of SD bill,07-Oct-15,1061,15-Oct-15,1061
"1,322",5360,03-Oct-15,75282,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ «  ªÁqÀğ £ÀA  54 gÀ  ¢ªÀmÉ NtÂ gÁdÄ ZÀªÁít EªÀgÀ ªÀÄ£É JzÀÄjUÉ ºÉÆ¸À  ZÉÃA§gï PÀlÄÖªÀÅzÀÄ,Refund of EMD bill,07-Oct-15,530,15-Oct-15,530
"1,323",5362,03-Oct-15,75314,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ « ªÁqÀğ £ÀA 54 gÀ PÀÄA¨ÁgÀ NtÂ ªÉÇqÁ¥sÉÆÃ£ï D¦üÃ¸ï JzÀÄjUÉ ºÉÆ¸À ¹.r   ªÀiÁqÀÄªÀÅzÀÄ,Refund of SD bill,07-Oct-15,2666,15-Oct-15,2666
"1,324",5361,03-Oct-15,75313,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ « ªÁqÀğ £ÀA 54 gÀ PÀÄA¨ÁgÀ NtÂ ªÉÇqÁ¥sÉÆÃ£ï D¦üÃ¸ï JzÀÄjUÉ ºÉÆ¸À ¹.r   ªÀiÁqÀÄªÀÅzÀÄ,Refund of EMD bill,07-Oct-15,1350,15-Oct-15,1350
"1,325",5358,03-Oct-15,75285,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ  « ªÁqÀğ £ÀA  54 gÀ zÀÄUÀğzÀ¨ÉÊ¯ï ¸ÁªÀ¼ÀV CAUÀr JzÀÄjUÉ PÁAQæÃl ¥ÉÃ«AUï  ªÀiÁqÀÄªÀÅzÀÄ,Refund of SD bill,07-Oct-15,4634,15-Oct-15,4634
"1,326",5357,03-Oct-15,75284,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ « ªÁqÀğ £ÀA  54 gÀ zÀÄUÀğzÀ¨ÉÊ¯ï ¸ÁªÀ¼ÀV CAUÀr JzÀÄjUÉ PÁAQæÃl ¥ÉÃ«AUï  ªÀiÁqÀÄªÀÅzÀÄ,Refund of EMD bill,07-Oct-15,2380,15-Oct-15,2380
"1,327",5355,03-Oct-15,75328,Emd and SD,EMD and SD,Gadag Kushal C,"ºÀÄ « ªÁqÀğ £ÀA  54 gÀ zÀÄUÀğzÀ¨ÉÊ¯ï ¤Ãj£À mÁQ ºÀwÛgÀ 6"" ¥ÉÊ¥ï ºÁQ PÀmÉÖ  PÀlÄÖªÀÅzÀÄ.",Refund of SD bill,07-Oct-15,1153,15-Oct-15,1153
"1,328",5356,03-Oct-15,75329,Emd and SD,EMD and SD,Gadag Kushal C,"ºÀÄ  « ªÁqÀğ £ÀA  54 gÀ zÀÄUÀğzÀ¨ÉÊ¯ï ¤Ãj£À mÁQ ºÀwÛgÀ 6"" ¥ÉÊ¥ï ºÁQ PÀmÉÖ  PÀlÄÖªÀÅzÀÄ.",Refund of EMD bill,07-Oct-15,580,15-Oct-15,580
"1,329",5354,03-Oct-15,75310,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ  « ªÁqÀğ £ÀA  54 gÀ zÀÄUÀğzÀ¨ÉÊ¯ï  NAPÁgÀ ¥sÉÆÃmÉÆÃ ¸ÀÆÖrAiÉÆ JzÀÄjUÉ  ZÉÃA§gï PÀlÄÖªÀÅzÀÄ.,Refund of SD bill,07-Oct-15,833,15-Oct-15,833
"1,330",5353,03-Oct-15,75309,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ « ªÁqÀğ £ÀA  54 gÀ zÀÄUÀğzÀ¨ÉÊ¯ï  NAPÁgÀ ¥sÉÆÃmÉÆÃ ¸ÀÆÖrAiÉÆ JzÀÄjUÉ  ZÉÃA§gï PÀlÄÖªÀÅzÀÄ.,Refund of EMD bill,07-Oct-15,420,15-Oct-15,420
"1,331",5351,03-Oct-15,75281,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ  « ªÁqÀğ £ÀA  54 gÀ zÀÄUÀğzÀ¨ÉÊ¯ï ¨sÀUÀªÁ£ï ¹éÃmï ªÀiÁlğ JzÀÄjUÉ  ZÉÃA§gï  PÀlÄÖªÀÅzÀÄ,Refund of SD bill,07-Oct-15,904,15-Oct-15,904
"1,332",5352,03-Oct-15,75279,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ « ªÁqÀğ £ÀA  54 gÀ zÀÄUÀğzÀ¨ÉÊ¯ï ¨sÀUÀªÁ£ï ¹éÃmï ªÀiÁlğ JzÀÄjUÉ  ZÉÃA§gï  PÀlÄÖªÀÅzÀÄ,Refund of EMD bill,07-Oct-15,455,15-Oct-15,455
"1,333",5350,03-Oct-15,75312,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ « ªÁqÀğ £ÀA 53 gÀ ªÀÄ¤AiÀiÁgÀ PÁA¥ÉèÃPÀì vÀÄªÀÄPÀÆgÀ NtÂ ºÁUÀÆ ªÀÄÄgÀÄ¸Á«gÀªÀÄoÀ ºÀwÛgÀ ZÉA§gï zÀÄgÀ¹Ü ªÀiÁqÀÄªÀÅzÀÄ,Refund of SD bill,07-Oct-15,419,15-Oct-15,419
"1,334",5349,03-Oct-15,75311,Emd and SD,EMD and SD,Gadag Kushal C,ºÀÄ « ªÁqÀğ £ÀA 53 gÀ ªÀÄ¤AiÀiÁgÀ PÁA¥ÉèÃPÀì vÀÄªÀÄPÀÆgÀ NtÂ ºÁUÀÆ ªÀÄÄgÀÄ¸Á«gÀªÀÄoÀ ºÀwÛgÀ ZÉA§gï zÀÄgÀ¹Ü ªÀiÁqÀÄªÀÅzÀÄ,Refund of EMD bill,07-Oct-15,250,15-Oct-15,250
"1,335",5347,03-Oct-15,75320,Emd and SD,EMD and SD,Gadag Kushal C,"ºÀÄ « ªÁqÀğ £ÀA 54 gÀ  ¨sÀUÀªÁ£ï ¹éÃlì , ¥Á£À  §eÁgÀ , §lgï ªÀiÁPÉğl ºÁUÀÆ ««zsÀ ¨sÁUÀUÀ¼À°è ZÉÃA§gï zÀÄgÀ¹Ü ªÀiÁqÀÄªÀÅzÀÄ",Refund of SD bill,07-Oct-15,1904,15-Oct-15,1904
"1,336",5348,03-Oct-15,75319,Emd and SD,EMD and SD,Gadag Kushal C,"ºÀÄ « ªÁqÀğ £ÀA 54 gÀ  ¨sÀUÀªÁ£ï ¹éÃlì , ¥Á£À  §eÁgÀ , §lgï ªÀiÁPÉğl ºÁUÀÆ ««zsÀ ¨sÁUÀUÀ¼À°è ZÉÃA§gï zÀÄgÀ¹Ü ªÀiÁqÀÄªÀÅzÀÄ",Refund of EMD bill,07-Oct-15,1000,15-Oct-15,1000
"1,337",5346,03-Oct-15,75323,Emd and SD,EMD and SD,Talwar Ningappa N.,ºÀÄ « ªÁqÀğ £ÀA  44 gÀ PË®¥ÉÃl ªÉÄÃ£ï gÉÆÃqÀ ©æÃqÀÓ ¨ÁdÄ UÀmÁgÀ j¥ÉÃj ªÀÄvÀÄÛ  ¸Áèöå¨ï ºÁQ CqÀØ UÉÆÃqÉ PÀlÄÖªÀÅzÀÄ ºÁUÀÆ £Á¯Á UÉÆÃqÉ zÀÄgÀ¹Ü ªÀiÁqÀÄªÀÅzÀÄ,Refund of SD bill,07-Oct-15,3738,15-Oct-15,3738
"1,338",5345,03-Oct-15,75321,Emd and SD,EMD and SD,Talwar Ningappa N.,ºÀÄ « ªÁqÀğ £ÀA  44 gÀ PË®¥ÉÃl ªÉÄÃ£ï gÉÆÃqÀ ©æÃqÀÓ ¨ÁdÄ UÀmÁgÀ j¥ÉÃj ªÀÄvÀÄÛ  ¸Áèöå¨ï ºÁQ CqÀØ UÉÆÃqÉ PÀlÄÖªÀÅzÀÄ ºÁUÀÆ £Á¯Á UÉÆÃqÉ zÀÄgÀ¹Ü ªÀiÁqÀÄªÀÅzÀÄ,Refund of EMD bill,07-Oct-15,1875,15-Oct-15,1875
"1,339",5342,03-Oct-15,75327,Emd and SD,EMD and SD,Talwar Ningappa N.,"ºÀÄ  « ªÁqÀğ £ÀA  45 gÀ ºÉÆ¸ÀÆgÀ ¸ÀPÀğ¯ï ºÀ£ÀÄªÀÄAvÀ zÉÃªÀgÀ UÀÄr JzÀÄjUÉ  6"" ¥ÉÊ¥ï ºÁPÀÄªÀÅzÀÄ",Refund of SD bill,07-Oct-15,703,15-Oct-15,703
"1,340",5341,03-Oct-15,75326,Emd and SD,EMD and SD,Talwar Ningappa N.,"ºÀÄ « ªÁqÀğ £ÀA  45 gÀ ºÉÆ¸ÀÆgÀ ¸ÀPÀğ¯ï ºÀ£ÀÄªÀÄAvÀ zÉÃªÀgÀ UÀÄr JzÀÄjUÉ  6"" ¥ÉÊ¥ï ºÁPÀÄªÀÅzÀÄ",Refund of EMD bill,07-Oct-15,355,15-Oct-15,355
"1,341",5343,03-Oct-15,75325,Emd and SD,EMD and SD,Talwar Ningappa N.,ºÀÄ « ªÁqÀğ £ÀA  53  gÀ CAZÀlUÉÃj NtÂ ²æÃ ªÀÄAdÄ£ÁxÀ ¥Á£À ±Á¥À JzÀÄjUÉ  ºÀÉÆ¸À ¹.r ªÀiÁqÀÄªÀÅzÀÄ,Refund of SD bill,07-Oct-15,2373,15-Oct-15,2373
"1,342",5344,03-Oct-15,75324,Emd and SD,EMD and SD,Talwar Ningappa N.,ºÀÄ « ªÁqÀğ £ÀA  53  gÀ CAZÀlUÉÃj NtÂ ²æÃ ªÀÄAdÄ£ÁxÀ ¥Á£À ±Á¥À JzÀÄjUÉ  ºÀÉÆ¸À ¹.r ªÀiÁqÀÄªÀÅzÀÄ,Refund of EMD bill,07-Oct-15,1200,15-Oct-15,1200
"1,343",5232,30-Sep-15,75027,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,"ºÀÄ."" « ªÁqÀğ £ÀA 53 gÀ ¨Á¸É¯ï «Ä±À£ï PÀA¥ËAqï, vÁqÀ¥Àwæ NtÂ, CAZÀlUÉÃj NtÂ & zÁf¨Á£À¥ÉÃmÉ ºÁUÀÆ ªÀÄzsÀªÀ¥ÀÆgÀzÀ°è ZÉÃA§gï JvÀÛj¹ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ",Refund of SD bill,07-Oct-15,296,15-Oct-15,296
"1,344",5233,30-Sep-15,75026,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,"ºÀÄ.« ªÁqÀğ £ÀA 53 gÀ ¨Á¸É¯ï «Ä±À£ï PÀA¥ËAqï, vÁqÀ¥Àwæ NtÂ, CAZÀlUÉÃj NtÂ & zÁf¨Á£À¥ÉÃmÉ ºÁUÀÆ ªÀÄzsÀªÀ¥ÀÆgÀzÀ°è ZÉÃA§gï JvÀÛj¹ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ",Refund of EMD bill,07-Oct-15,150,15-Oct-15,150
"1,345",5235,30-Sep-15,75021,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,"ºÀÄ."" ªÁqÀğ £ÀA 44 gÀ CA¨sÉÃqÀÌgÀ PÁ¯ÉÆÃ¤AiÀÄ PÉÆÃmÁgÉ CªÀgÀ ªÀÄ£É ºÀwÛgÀ ºÉÆ¸À ZÉÃA§gÀ PÀlÄÖªÀÅzÀÄ & M¼ÀZÀgÀAr PÉÆÃ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ """"zsÀ ¨sÁUÀUÀ¼À°è ZÀA§gÀ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ.",Refund of SD bill ,07-Oct-15,1396,15-Oct-15,1396
"1,346",5234,30-Sep-15,75020,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,"ºÀÄ.ªÁqÀğ £ÀA 44 gÀ CA¨sÉÃqÀÌgÀ PÁ¯ÉÆÃ¤AiÀÄ PÉÆÃmÁgÉ CªÀgÀ ªÀÄ£É ºÀwÛgÀ ºÉÆ¸À ZÉÃA§gÀ PÀlÄÖªÀÅzÀÄ & M¼ÀZÀgÀAr PÉÆÃ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ """"zsÀ ¨sÁUÀUÀ¼À°è ZÀA§gÀ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ.",Refund of EMD bill,07-Oct-15,700,15-Oct-15,700
"1,347",5239,30-Sep-15,75029,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,"ºÀÄ.""  « ªÁqÀğ £ÀA 45 gÀ AiÀiÁªÀUÀ¯ï ¥Áèl PÀÄ®PÀtÂğ ZÁ¼À ""»gÉÃPÉÃgÀÄgÀ ªÀÄ£É ºÀwÛgÀ ZÉÃA§gï PÀnÖ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ",Refund of SD bill,07-Oct-15,1750,15-Oct-15,1750
"1,348",5238,30-Sep-15,75028,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,"ºÀÄ."" « ªÁqÀğ £ÀA 45 gÀ AiÀiÁªÀUÀ¯ï ¥Áèl PÀÄ®PÀtÂğ ZÁ¼À ""»gÉÃPÉÃgÀÄgÀ ªÀÄ£É ºÀwÛgÀ ZÉÃA§gï PÀnÖ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ",Refund of EMD bill,07-Oct-15,875,15-Oct-15,875
"1,349",5236,30-Sep-15,75019,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,ºÀÄ.«.ªÁ.£ÀA45 UÁè¸À¸Ë¸À ªÀ®AiÀÄ PÀZÉÃj £ÀA. 09gÀ CªÀgÀtUzÀ°è ºÉÆ¸À M¼ÀZÀgÀAr ZÉÃA§gÀ PÀlÄÖªÀzÀÄ.,Refund of SD bill ,07-Oct-15,2349,15-Oct-15,2349
"1,350",5237,30-Sep-15,75018,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,ºÀÄ.«.ªÁ.£ÀA45 UÁè¸À¸Ë¸À ªÀ®AiÀÄ PÀZÉÃj £ÀA. 09gÀ CªÀgÀtUzÀ°è ºÉÆ¸À M¼ÀZÀgÀAr ZÉÃA§gÀ PÀlÄÖªÀzÀÄ.,Refund of EMD bill,07-Oct-15,1175,15-Oct-15,1175
"1,351",5240,30-Sep-15,75041,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,"ºÀÄ. «. ªÁ. £ÀA. 53gÀ°è §gÀÄªÀ f CqÉØ CAZÀlUÉÃj NtÂºÁUÀÆ zÉÆÃAUÀrAiÀÄªÀgÀ ªÀÄ£É ºÀwÛgÀ M¼ÀZÀgÀAr ZÉÃA§gÀPÀlÄÖªÀÅzÀÄ ºÁUÀÆ zÀÄgÀ¹ÜUÉÆ½¸ÀÄªÀÅzÀÄ
",Refund of SD bill,07-Oct-15,980,15-Oct-15,980
"1,352",5241,30-Sep-15,75039,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,"ºÀÄ. «. ªÁ. £ÀA. 53gÀ°è §gÀÄªÀ f CqÉØ CAZÀlUÉÃj NtÂºÁUÀÆ zÉÆÃAUÀrAiÀÄªÀgÀ ªÀÄ£É ºÀwÛgÀ M¼ÀZÀgÀAr ZÉÃA§gÀPÀlÄÖªÀÅzÀÄ ºÁUÀÆ zÀÄgÀ¹ÜUÉÆ½¸ÀÄªÀÅzÀÄ
",Refund of EMD bill,07-Oct-15,500,15-Oct-15,500
"1,353",5243,30-Sep-15,75036,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,"ºÀÄ.""« ªÁqÀğ £ÀA 53 gÀ zÁf¨Á£À¥ÉÃl vÀÄªÀÄPÀÆgÀ NtÂ ªÀÄvÀÄÛ ªÀiÁzsÀªÀ¥ÀÆgÀ ««zsÀ ¨sÁUÀUÀ¼À°è ZÉÃA§gï ¨Á¤NtÂ JvÀÛj¹ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ",Refund of SD bill ,07-Oct-15,740,15-Oct-15,740
"1,354",5242,30-Sep-15,75035,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,ºÀÄ. « ªÁqÀğ £ÀA 53 gÀ zÁf¨Á£À¥ÉÃl vÀÄªÀÄPÀÆgÀ NtÂ ªÀÄvÀÄÛ ªÀiÁzsÀªÀ¥ÀÆgÀ ««zsÀ ¨sÁUÀUÀ¼À°è ZÉÃA§gï ¨Á¤NtÂ JvÀÛj¹ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ,Refund of EMD bill,07-Oct-15,375,15-Oct-15,375
"1,355",5244,30-Sep-15,75009,Emd and SD,EMD and SD,Kaller Somashekhar Bhimappa,ºÀÄ.«.ªÁ.£ÀA 53gÀ°è ¸ÉÆgÀ§zÀªÀÄoÀUÀ°èAiÀÄ°è ºÉÆ¸À ZÉÃA§gÀ PÀlÄÖªÀÅzÀÄ ºÁUÀÆ PÀªÀgÀ ºÁPÀÄªÀÅzÀÄ & PÀªÀÄjÃ¥ÉÃl ««zsÀ ¨sÁUÀUÀ¼À°è ¦æÃPÁ¸ÀÖ ¸Áèöå§ ºÁPÀÄªÀÅzÀÄ,Refund of SD bill ,07-Oct-15,1397,15-Oct-15,1397
